iter	Passed	Remaining
1414	21046	8701
1415	21061	8686
1416	21077	8672
1417	21092	8657
1418	21106	8642
1419	21121	8627
1420	21136	8612
1421	21151	8597
1422	21166	8582
1423	21181	8567
1424	21196	8553
1425	21212	8538
1426	21227	8523
1427	21242	8508
1428	21258	8494
1429	21273	8479
1430	21288	8464
1431	21303	8450
1432	21318	8435
1433	21334	8420
1434	21348	8405
1435	21364	8391
1436	21380	8376
1437	21394	8361
1438	21410	8347
1439	21424	8331
1440	21439	8317
1441	21455	8302
1442	21471	8287
1443	21486	8273
1444	21502	8258
1445	21518	8244
1446	21534	8229
1447	21549	8214
1448	21564	8200
1449	21593	8190
1450	21606	8175
1451	21621	8160
1452	21636	8145
1453	21652	8131
1454	21667	8116
1455	21682	8101
1456	21698	8086
1457	21714	8072
1458	21731	8058
1459	21747	8043
1460	21762	8028
1461	21779	8014
1462	21795	8000
1463	21811	7985
1464	21827	7971
1465	21842	7956
1466	21858	7941
1467	21874	7927
1468	21888	7911
1469	21903	7897
1470	21918	7882
1471	21933	7867
1472	21948	7852
1473	21963	7837
1474	21977	7822
1475	21993	7808
1476	22009	7793
1477	22024	7778
1478	22040	7764
1479	22055	7749
1480	22070	7734
1481	22085	7719
1482	22100	7704
1483	22116	7689
1484	22131	7675
1485	22146	7660
1486	22161	7645
1487	22176	7630
1488	22191	7615
1489	22206	7600
1490	22221	7586
1491	22238	7571
1492	22253	7556
1493	22267	7541
1494	22282	7526
1495	22298	7512
1496	22314	7497
1497	22329	7482
1498	22345	7468
1499	22361	7453
1500	22376	7438
1501	22391	7424
1502	22406	7409
1503	22420	7393
1504	22435	7379
1505	22450	7364
1506	22467	7349
1507	22481	7334
1508	22496	7320
1509	22511	7305
1510	22526	7290
1511	22541	7275
1512	22556	7260
1513	22570	7245
1514	22587	7230
1515	22601	7215
1516	22616	7200
1517	22631	7185
1518	22647	7171
1519	22661	7156
1520	22676	7141
1521	22709	7132
1522	22724	7117
1523	22741	7102
1524	22755	7087
1525	22770	7072
1526	22785	7058
1527	22800	7043
1528	22815	7028
1529	22830	7013
1530	22844	6998
1531	22859	6983
1532	22875	6968
1533	22890	6953
1534	22904	6938
1535	22919	6923
1536	22935	6909
1537	22950	6894
1538	22966	6879
1539	22981	6864
1540	22997	6849
1541	23012	6835
1542	23028	6820
1543	23043	6805
1544	23059	6790
1545	23073	6775
1546	23088	6760
1547	23104	6746
1548	23119	6731
1549	23135	6716
1550	23150	6701
1551	23164	6686
1552	23179	6671
1553	23194	6656
1554	23208	6641
1555	23223	6626
1556	23239	6612
1557	23254	6597
1558	23268	6582
1559	23283	6567
1560	23298	6552
1561	23314	6537
1562	23329	6522
1563	23344	6507
1564	23359	6492
1565	23375	6478
1566	23389	6463
1567	23403	6447
1568	23419	6433
1569	23434	6418
1570	23451	6403
1571	23466	6389
1572	23481	6374
1573	23496	6359
1574	23512	6344
1575	23527	6329
1576	23542	6314
1577	23557	6299
1578	23572	6285
1579	23587	6270
1580	23602	6255
1581	23617	6240
1582	23632	6225
1583	23647	6210
1584	23663	6195
1585	23678	6181
1586	23721	6173
1587	23739	6159
1588	23756	6144
1589	23777	6131
1590	23793	6116
1591	23810	6102
1592	23828	6087
1593	23844	6073
1594	23861	6058
1595	23876	6043
1596	23893	6029
1597	23909	6014
1598	23924	5999
1599	23939	5984
1600	23954	5969
1601	23969	5954
1602	23985	5940
1603	24000	5925
1604	24017	5910
1605	24031	5895
1606	24045	5880
1607	24060	5865
1608	24075	5850
1609	24090	5835
1610	24104	5820
1611	24118	5805
1612	24133	5790
1613	24149	5775
1614	24164	5760
1615	24179	5745
1616	24192	5730
1617	24207	5715
1618	24222	5700
1619	24237	5685
1620	24252	5670
1621	24266	5655
1622	24281	5640
1623	24296	5625
1624	24311	5610
1625	24337	5597
1626	24350	5582
1627	24364	5567
1628	24379	5552
1629	24394	5537
1630	24409	5522
1631	24424	5507
1632	24438	5492
1633	24452	5477
1634	24466	5461
1635	24481	5446
1636	24495	5431
1637	24510	5416
1638	24523	5401
